,filename,xmin,xmax,ymin,ymax,Time,Size,Type,Hand_Pixel_Width,Hand_Pixel_Height,Area,guantes,color
48,M_P_Trabajando_Mano-Amarillo_57_double_box2.jpg,880,914,231,266,M,P,test,34,35,1190,no,mano
50,M_P_Trabajando_Mano-Amarillo_66_double_box2.jpg,868,906,218,269,M,P,test,38,51,1938,no,mano
52,N_G_Mostrando_Mano-Amarillo_18_double_box2.jpg,367,534,379,585,N,G,train,167,206,34402,no,mano
54,N_G_Mostrando_Mano-Amarillo_27_double_box2.jpg,603,820,396,582,N,G,train,217,186,40362,no,mano
55,N_G_Mostrando_Mano-Amarillo_36_double_box1.jpg,489,712,333,560,N,G,train,223,227,50621,no,mano
57,N_G_Mostrando_Mano-Amarillo_39_double_box1.jpg,516,659,322,555,N,G,test,143,233,33319,no,mano
59,N_G_Mostrando_Mano-Amarillo_50_double_box1.jpg,425,612,550,789,N,G,test,187,239,44693,no,mano
61,N_G_Mostrando_Mano-Amarillo_54_double_box1.jpg,423,616,549,790,N,G,test,193,241,46513,no,mano
64,N_G_Mostrando_Mano-Amarillo_9_double_box2.jpg,489,699,321,559,N,G,train,210,238,49980,no,mano
66,N_G_Trabajando_Mano-Amarillo_18_double_box2.jpg,920,1133,534,868,N,G,train,213,334,71142,no,mano
68,N_G_Trabajando_Mano-Amarillo_27_double_box2.jpg,668,865,293,512,N,G,train,197,219,43143,no,mano
69,N_G_Trabajando_Mano-Amarillo_36_double_box1.jpg,988,1134,240,393,N,G,train,146,153,22338,no,mano
72,N_G_Trabajando_Mano-Amarillo_42_double_box2.jpg,785,948,368,514,N,G,train,163,146,23798,no,mano
73,N_G_Trabajando_Mano-Amarillo_48_double_box1.jpg,683,839,330,510,N,G,test,156,180,28080,no,mano
75,N_G_Trabajando_Mano-Amarillo_57_double_box1.jpg,273,422,372,522,N,G,test,149,150,22350,no,mano
79,N_G_Trabajando_Mano-Amarillo_9_double_box2.jpg,521,646,335,474,N,G,train,125,139,17375,no,mano
81,N_P_Mostrando_Mano-Amarillo_0_double_box2.jpg,1175,1241,78,142,N,P,train,66,64,4224,no,mano
82,N_P_Mostrando_Mano-Amarillo_10_double_box1.jpg,1195,1239,118,155,N,P,train,44,37,1628,no,mano
84,N_P_Mostrando_Mano-Amarillo_108_double_box1.jpg,999,1048,160,209,N,P,test,49,49,2401,no,mano
86,N_P_Mostrando_Mano-Amarillo_117_double_box1.jpg,857,922,123,180,N,P,test,65,57,3705,no,mano
88,N_P_Mostrando_Mano-Amarillo_126_double_box1.jpg,916,978,93,176,N,P,test,62,83,5146,no,mano
90,N_P_Mostrando_Mano-Amarillo_133_double_box1.jpg,864,937,182,241,N,P,test,73,59,4307,no,mano
92,N_P_Mostrando_Mano-Amarillo_20_double_box1.jpg,988,1043,18,76,N,P,train,55,58,3190,no,mano
95,N_P_Mostrando_Mano-Amarillo_30_double_box2.jpg,933,982,222,273,N,P,train,49,51,2499,no,mano
96,N_P_Mostrando_Mano-Amarillo_40_single_box.jpg,902,943,72,124,N,P,train,41,52,2132,no,mano
98,N_P_Mostrando_Mano-Amarillo_50_double_box2.jpg,783,838,132,181,N,P,train,55,49,2695,no,mano
99,N_P_Mostrando_Mano-Amarillo_60_double_box1.jpg,819,859,219,275,N,P,train,40,56,2240,no,mano
101,N_P_Mostrando_Mano-Amarillo_70_double_box1.jpg,951,1017,230,288,N,P,train,66,58,3828,no,mano
103,N_P_Mostrando_Mano-Amarillo_80_double_box1.jpg,941,996,267,315,N,P,train,55,48,2640,no,mano
105,N_P_Mostrando_Mano-Amarillo_90_double_box1.jpg,978,1029,255,292,N,P,train,51,37,1887,no,mano
107,N_P_Mostrando_Mano-Amarillo_99_double_box1.jpg,855,929,268,310,N,P,test,74,42,3108,no,mano
109,N_P_Trabajando_Mano-Amarillo_10_double_box1.jpg,1005,1051,226,275,N,P,train,46,49,2254,no,mano
111,N_P_Trabajando_Mano-Amarillo_101_single_box.jpg,1031,1075,228,265,N,P,test,44,37,1628,no,mano
113,N_P_Trabajando_Mano-Amarillo_20_double_box2.jpg,969,1012,240,282,N,P,train,43,42,1806,no,mano
115,N_P_Trabajando_Mano-Amarillo_30_double_box2.jpg,952,992,235,273,N,P,train,40,38,1520,no,mano
116,N_P_Trabajando_Mano-Amarillo_40_double_box1.jpg,962,1021,236,280,N,P,train,59,44,2596,no,mano
119,N_P_Trabajando_Mano-Amarillo_50_double_box2.jpg,906,966,220,280,N,P,train,60,60,3600,no,mano
120,N_P_Trabajando_Mano-Amarillo_60_double_box1.jpg,1025,1075,223,265,N,P,train,50,42,2100,no,mano
122,N_P_Trabajando_Mano-Amarillo_70_single_box.jpg,1049,1091,272,306,N,P,train,42,34,1428,no,mano
123,N_P_Trabajando_Mano-Amarillo_79_single_box.jpg,982,1068,214,275,N,P,test,86,61,5246,no,mano
125,N_P_Trabajando_Mano-Amarillo_88_double_box2.jpg,963,1009,248,288,N,P,test,46,40,1840,no,mano
126,N_P_Trabajando_Mano-Amarillo_97_single_box.jpg,1011,1071,200,263,N,P,test,60,63,3780,no,mano
128,T_G_Mostrando_Mano-Amarillo_19_double_box2.jpg,1014,1171,510,665,T,G,train,157,155,24335,no,mano
129,T_G_Mostrando_Mano-Amarillo_29_double_box1.jpg,989,1149,420,572,T,G,train,160,152,24320,no,mano
131,T_G_Mostrando_Mano-Amarillo_30_double_box1.jpg,941,1110,496,657,T,G,train,169,161,27209,no,mano
133,T_G_Mostrando_Mano-Amarillo_33_double_box1.jpg,871,1113,605,888,T,G,test,242,283,68486,no,mano
136,T_G_Mostrando_Mano-Amarillo_40_double_box2.jpg,1085,1276,341,546,T,G,test,191,205,39155,no,mano
138,T_G_Mostrando_Mano-Amarillo_9_double_box2.jpg,1056,1221,247,392,T,G,train,165,145,23925,no,mano
140,T_G_Trabajando_Mano-Amarillo_1_double_box2.jpg,745,850,250,369,T,G,train,105,119,12495,no,mano
142,T_G_Trabajando_Mano-Amarillo_12_double_box2.jpg,622,755,260,440,T,G,train,133,180,23940,no,mano
144,T_G_Trabajando_Mano-Amarillo_23_double_box2.jpg,676,826,228,385,T,G,train,150,157,23550,no,mano
146,T_G_Trabajando_Mano-Amarillo_34_double_box2.jpg,842,1059,273,431,T,G,train,217,158,34286,no,mano
148,T_G_Trabajando_Mano-Amarillo_45_double_box2.jpg,903,1095,244,391,T,G,train,192,147,28224,no,mano
150,T_G_Trabajando_Mano-Amarillo_50_double_box2.jpg,861,1074,191,319,T,G,test,213,128,27264,no,mano
151,T_G_Trabajando_Mano-Amarillo_60_double_box1.jpg,920,1069,306,455,T,G,test,149,149,22201,no,mano
154,T_G_Trabajando_Mano-Amarillo_70_double_box2.jpg,821,982,210,321,T,G,test,161,111,17871,no,mano
155,T_P_Mostrando_Mano-Amarillo_0_double_box1.jpg,1083,1126,206,253,T,P,train,43,47,2021,no,mano
158,T_P_Mostrando_Mano-Amarillo_10_double_box2.jpg,1174,1214,20,84,T,P,train,40,64,2560,no,mano
160,T_P_Mostrando_Mano-Amarillo_14_double_box2.jpg,1270,1326,97,147,T,P,train,56,50,2800,no,mano
162,T_P_Mostrando_Mano-Amarillo_15_double_box2.jpg,1298,1363,116,172,T,P,test,65,56,3640,no,mano
163,T_P_Mostrando_Mano-Amarillo_19_single_box.jpg,1338,1379,160,209,T,P,test,41,49,2009,no,mano
167,T_P_Trabajando_Mano-Amarillo_36_double_box2.jpg,1233,1277,222,262,T,P,train,44,40,1760,no,mano
169,T_P_Trabajando_Mano-Amarillo_45_double_box2.jpg,1191,1243,204,248,T,P,train,52,44,2288,no,mano
171,T_P_Trabajando_Mano-Amarillo_54_double_box2.jpg,1199,1250,215,263,T,P,train,51,48,2448,no,mano
172,T_P_Trabajando_Mano-Amarillo_9_single_box.jpg,1305,1370,253,314,T,P,train,65,61,3965,no,mano
